id_commune;Commune;Code departement
1350;SAINT-ETIENNE-DU-BOIS;1
1103;CHEVRY;1
1143;DIVONNE-LES-BAINS;1
1288;PERON;1
133;VALSERHONE;1
1138;CULOZ;1
1354;ST-GENIS-POUILLY;1
1354;ST-GENIS-POUILLY;1
1143;DIVONNE-LES-BAINS;1
1354;ST-GENIS-POUILLY;1
1288;PERON;1
1283;OYONNAX;1
1357;ST-GERMAIN-DE-JOUX;1
1173;GEX;1
133;VALSERHONE;1
1143;DIVONNE-LES-BAINS;1
14;AMBERIEU-EN-BUGEY;1
171;CESSY;1
1396;SAULT-BRENAZ;1
1160;FERNEY-VOLTAIRE;1
1103;CHEVRY;1
1399;SEGNY;1
1202;LAGNIEU;1
1204;LE POIZAT-LALLEYRIAT;1
1173;GEX;1
1354;ST-GENIS-POUILLY;1
14;AMBERIEU-EN-BUGEY;1
134;BELLEY;1
1281;ORNEX;1
1354;ST-GENIS-POUILLY;1
1160;FERNEY-VOLTAIRE;1
1138;CULOZ;1
1202;LAGNIEU;1
1148;DORTAN;1
14;AMBERIEU-EN-BUGEY;1
134;BELLEY;1
1202;LAGNIEU;1
1160;FERNEY-VOLTAIRE;1
1160;FERNEY-VOLTAIRE;1
1313;PREVESSIN-MOENS;1
160;BRENOD;1
14;AMBERIEU-EN-BUGEY;1
1363;SAINT-JEAN-LE-VIEUX;1
1160;FERNEY-VOLTAIRE;1
1269;NANTUA;1
1345;SAINT-DENIS-EN-BUGEY;1
1419;THOIRY;1
1283;OYONNAX;1
131;BELLIGNAT;1
1354;ST-GENIS-POUILLY;1
1313;PREVESSIN-MOENS;1
1160;FERNEY-VOLTAIRE;1
1185;PLATEAU D'HAUTEVILLE;1
1173;GEX;1
1160;FERNEY-VOLTAIRE;1
1354;ST-GENIS-POUILLY;1
1354;ST-GENIS-POUILLY;1
1210;LELEX;1
134;BELLEY;1
1399;SEGNY;1
1173;GEX;1
14;AMBERIEU-EN-BUGEY;1
133;VALSERHONE;1
1281;ORNEX;1
171;CESSY;1
1173;GEX;1
1202;LAGNIEU;1
1313;PREVESSIN-MOENS;1
1173;GEX;1
1436;VESANCY;1
133;VALSERHONE;1
1419;THOIRY;1
1419;THOIRY;1
1192;IZERNORE;1
14;AMBERIEU-EN-BUGEY;1
14;AMBERIEU-EN-BUGEY;1
1354;ST-GENIS-POUILLY;1
1160;FERNEY-VOLTAIRE;1
1281;ORNEX;1
1153;ECHENEVEX;1
1103;CHEVRY;1
1313;PREVESSIN-MOENS;1
1313;PREVESSIN-MOENS;1
1419;THOIRY;1
1435;VERSONNEX;1
133;VALSERHONE;1
1143;DIVONNE-LES-BAINS;1
14;AMBERIEU-EN-BUGEY;1
133;VALSERHONE;1
133;VALSERHONE;1
1143;DIVONNE-LES-BAINS;1
1173;GEX;1
1390;SAINT-VULBAS;1
1160;FERNEY-VOLTAIRE;1
134;BELLEY;1
1283;OYONNAX;1
1160;FERNEY-VOLTAIRE;1
1173;GEX;1
14;AMBERIEU-EN-BUGEY;1
1109;COLLONGES;1
1153;ECHENEVEX;1
