;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
12004;10444;VULAINES;2023-03-31;1;0;272
33694;1125;CORVEISSIAT;2023-03-31;12;0;758
33825;1179;GRIÈGES;2023-03-31;16;0;2000
33909;1212;LESCHEROUX;2022-09-30;4;0;831
34036;1260;LE MONTELLIER;2022-12-31;6;0;334
34221;1329;ROSSILLON;2023-03-31;2;0;214
34508;1420;THOISSEY;2022-12-31;13;0;1576
34792;2047;BARENTON-CEL;2022-09-30;1;0;133
34888;2076;BERTRICOURT;2021-12-31;0;0;152
34951;2095;BOHAIN-EN-VERMANDOIS;2023-03-31;27;1;4876
35184;2170;CHÂTILLON-SUR-OISE;2023-03-31;0;0;140
35225;2183;CHEVREGNY;2023-03-31;5;0;228
35291;2207;COMMENCHON;2022-09-30;0;0;225
35433;2249;CUIRY-HOUSSE;2023-03-31;1;0;140
35474;2261;DERCY;2023-03-31;3;0;453
36083;2465;MARIGNY-EN-ORXOIS;2023-03-31;9;0;654
36171;2491;MONCEAU-LE-NEUF-ET-FAUCOUZY;2022-12-31;2;0;343
36262;2516;MONTIGNY-SOUS-MARLE;2022-12-31;0;0;62
36488;2583;PANCY-COURTECON;2022-12-31;0;0;76
40378;7136;LAVEYRUNE;2023-03-31;1;0;104
40434;7154;MAZAN-L'ABBAYE;2023-03-31;1;0;204
40775;7264;SAINT-MARCEL-D'ARDÈCHE;2021-12-31;28;0;3067
41177;8039;AVAUX;2023-03-31;6;0;607
41197;8047;BARBAISE;2023-03-31;1;0;121
41544;8170;FLEIGNEUX;2023-03-31;3;0;275
42370;8451;LE THOUR;2022-06-30;2;0;422
42466;8482;VILLERS-SUR-LE-MONT;2023-03-31;3;0;123
42793;9083;CASTÉRAS;2022-09-30;2;0;29
46598;9251;ROUMENGOUX;2022-06-30;3;0;202
46687;9277;SAINT-YBARS;2022-12-31;11;0;846
46844;9324;VARILHES;2023-03-31;51;0;3687
47227;10094;CHAVANGES;2022-12-31;5;0;654
47396;10147;FAYS-LA-CHAPELLE;2022-09-30;1;0;167
47574;10201;LA LOGE-POMBLIN;2022-06-30;0;0;105
47842;10279;PARS-LÈS-CHAVANGES;2023-03-31;1;0;67
48103;10362;SAINTE-SAVINE;2023-03-31;123;2;9353
48263;10412;VILLECHÉTIF;2023-03-31;31;0;954
48332;10433;VILLY-EN-TRODES;2023-03-31;1;0;260
48372;10443;VOUGREY;2022-12-31;0;0;46
48507;11035;BELVIANES-ET-CAVIRAC;2023-03-31;1;0;353
48571;11056;CABRESPINE;2023-03-31;2;0;196
48885;11146;FLOURE;2021-12-31;6;0;400
59507;2633;QUINCY-SOUS-LE-MONT;2022-09-30;2;0;78
59518;2636;REGNY;2022-12-31;0;0;221
59779;2716;SERVAIS;2023-03-31;4;0;323
59933;2762;VASSENS;2023-03-31;0;0;229
59975;2774;VENDELLES;2023-03-31;1;0;131
60038;2792;VEUILLY-LA-POTERIE;2022-09-30;0;0;205
60208;3007;ARPHEUILLES-SAINT-PRIEST;2023-03-31;3;0;434
60326;3038;BRANSAT;2023-03-31;5;0;610
60596;3112;ÉTROUSSAT;2022-12-31;8;0;779
61203;3296;VALIGNY;2022-09-30;2;0;463
61210;3298;VARENNES-SUR-ALLIER;2023-03-31;39;0;3936
61317;4009;ARCHAIL;2023-03-31;0;0;15
61531;4085;FAUCON-DU-CAIRE;2022-03-31;0;0;54
62299;5119;RISOUL;2022-12-31;13;0;898
130021;6125;SAINT-MARTIN-D'ENTRAUNES;2022-12-31;0;0;86
130024;6126;SAINT-MARTIN-DU-VAR;2023-03-31;69;0;3352
130026;6127;SAINT-MARTIN-VÉSUBIE;2022-12-31;15;0;1294
130031;6128;SAINT-PAUL-DE-VENCE;2022-03-31;123;0;4895
130033;6129;SAINT-SAUVEUR-SUR-TINÉE;2022-12-31;6;0;299
130038;6130;SAINT-VALLIER-DE-THIEY;2022-12-31;72;0;4591
130040;6131;SALLAGRIFFON;2022-12-31;0;0;62
130041;6132;SAORGE;2023-03-31;3;0;424
130043;6133;SAUZE;2023-03-31;0;0;77
130044;6134;SÉRANON;2021-06-30;5;0;698
130047;6135;SIGALE;2022-09-30;0;0;249
130050;6136;SOSPEL;2023-03-31;65;0;4169
130054;6137;SPÉRACÈDES;2022-12-31;43;0;1588
130056;6138;THÉOULE-SUR-MER;2021-12-31;42;0;2565
130062;6139;THIÉRY;2023-03-31;0;0;25
130068;6140;LE TIGNET;2022-12-31;118;0;4286
130069;6141;TOUDON;2021-09-30;4;0;407
130071;6142;TOUËT-DE-L'ESCARÈNE;2023-03-31;1;0;327
130076;6143;TOUËT-SUR-VAR;2022-12-31;10;0;754
130082;6145;TOURETTE-DU-CHÂTEAU;2022-12-31;4;0;141
130086;6146;TOURNEFORT;2022-12-31;2;0;194
130089;6147;TOURRETTE-LEVENS;2023-03-31;158;0;5150
130090;6148;TOURRETTES-SUR-LOUP;2021-06-30;87;0;5411
130098;6150;LA TURBIE;2022-03-31;64;1;3537
130101;6151;UTELLE;2022-12-31;10;0;1002
130102;6152;VALBONNE;2021-03-31;336;5;16613
130104;6153;VALDEBLORE;2023-03-31;16;0;1121
130108;6154;VALDEROURE;2023-03-31;4;0;593
130111;6155;VALLAURIS;2023-03-31;668;0;32098
130115;6156;VENANSON;2022-12-31;4;0;169
130117;6157;VENCE;2022-03-31;342;0;20835
130120;6158;VILLARS-SUR-VAR;2023-03-31;8;0;867
130122;6159;VILLEFRANCHE-SUR-MER;2021-09-30;79;0;5494
130127;6160;VILLENEUVE-D'ENTRAUNES;2022-06-30;1;0;67
130130;6161;VILLENEUVE-LOUBET;2023-03-31;587;1;21120
130132;6162;LA BRIGUE;2022-03-31;4;0;560
130133;6163;TENDE;2021-06-30;1;0;1858
130143;7001;ACCONS;2022-12-31;1;0;477
130146;7002;AILHON;2023-03-31;7;0;619
130150;7003;AIZAC;2022-09-30;1;0;187
130152;7004;AJOUX;2022-09-30;2;0;116
